Group;Score;Map;Algorithm;Correlation coefficient;Mean absolute error;Root mean squared error;Relative absolute error;Root relative squared error
all;1;samemaps;LinearRegression;0.9997;27.6893;49.1275;1.8581;2.2832
nopos;1;samemaps;LinearRegression;0.9997;26.6479;49.255;1.7882;2.2891
nodist;1;samemaps;LinearRegression;0.9997;27.4725;49.6506;1.8435;2.3075
all;1;samemaps;M5;0.9997;24.9383;50.7414;1.6735;2.3582
nodist;1;samemaps;M5;0.9997;24.9383;50.7414;1.6735;2.3582
nopos;1;samemaps;M5;0.9997;25.5923;50.8346;1.7173;2.3625
all;2;othermaps;LinearRegression;0.997;32.356;55.0897;3.795;6.0187
all;2;othermaps;M5;0.9968;29.7847;56.2973;3.4934;6.1506
all;2;othermaps;MultilayerPerceptron;0.9919;79.0615;104.0204;9.273;11.3644
all;2;samemaps;LinearRegression;0.9997;27.7935;50.045;1.8346;2.2964
all;2;samemaps;M5;0.9997;25.2957;51.0743;1.6697;2.3436
all;2;samemaps;MultilayerPerceptron;0.9995;47.9086;73.0974;3.1624;3.3542
all;3;othermaps;LinearRegression;0.9965;35.7764;61.3507;4.1048;6.5307
all;3;othermaps;M5;0.9963;36.0764;62.9516;4.1393;6.7011
all;3;othermaps;MultilayerPerceptron;0.9896;81.1337;109.2772;9.3089;11.6323
all;3;samemaps;LinearRegression;0.9997;31.558;54.4348;2.05;2.4655
all;3;samemaps;M5;0.9997;29.6996;55.7056;1.9293;2.523
all;3;samemaps;MultilayerPerceptron;0.9989;69.6954;112.8816;4.5275;5.1127
onlydist;1;samemaps;M5;0.9997;33.7596;54.5562;2.2654;2.5355
nopos;1;othermaps;M5;0.9967;29.0108;55.1586;3.4838;6.1765
all;1;othermaps;M5;0.9966;29.1549;55.9064;3.5011;6.2603
nodist;1;othermaps;M5;0.9966;29.1549;55.9064;3.5011;6.2603
nopos;1;othermaps;LinearRegression;0.9968;30.783;54.5691;3.6966;6.1105
all;1;othermaps;LinearRegression;0.9967;30.5051;55.1707;3.6632;6.1779
nodist;2;othermaps;LinearRegression;0.9967;35.596;57.3592;4.175;6.2666
nodist;2;othermaps;M5;0.9968;29.7847;56.2973;3.4934;6.1506
nodist;2;othermaps;MultilayerPerceptron;0.9948;56.9119;76.0093;6.6751;8.3042
nodist;2;samemaps;LinearRegression;0.9997;27.3419;50.6288;1.8048;2.3232
nodist;2;samemaps;M5;0.9997;25.2957;51.0743;1.6697;2.3436
nodist;2;samemaps;MultilayerPerceptron;0.9994;44.9335;77.1558;2.966;3.5404
nodist;3;othermaps;LinearRegression;0.9962;36.9244;63.9516;4.2366;6.8075
nodist;3;othermaps;M5;0.9963;36.0764;62.9516;4.1393;6.7011
nodist;3;othermaps;MultilayerPerceptron;0.9919;65.1422;93.2946;7.4741;9.931
nodist;3;samemaps;LinearRegression;0.9997;30.7029;55.2492;1.9945;2.5024
nodist;3;samemaps;M5;0.9997;29.6996;55.7056;1.9293;2.523
nodist;3;samemaps;MultilayerPerceptron;0.9993;63.3307;90.1235;4.114;4.0819
onlydist;1;samemaps;LinearRegression;0.9997;36.3648;56.1526;2.4402;2.6097
nodist;1;othermaps;LinearRegression;0.9964;33.1818;57.8076;3.9846;6.4731
onlydist;1;othermaps;M5;0.9962;35.7599;58.8686;4.2942;6.592
onlydist;1;samemaps;MultilayerPerceptron;0.9997;51.3927;63.9878;3.4486;2.9738
all;1;samemaps;MultilayerPerceptron;0.9995;42.9935;66.3647;2.885;3.0843
onlydist;1;othermaps;LinearRegression;0.9958;46.3464;63.2492;5.5655;7.0825
nopos;2;othermaps;LinearRegression;0.997;31.3769;54.4894;3.6802;5.9531
nopos;2;othermaps;M5;0.9969;25.991;55.7533;3.0485;6.0912
nopos;2;othermaps;MultilayerPerceptron;0.9956;45.2104;66.4086;5.3027;7.2553
nopos;2;samemaps;LinearRegression;0.9997;27.0726;50.1497;1.787;2.3012
nopos;2;samemaps;M5;0.9997;24.4801;51.5403;1.6159;2.365
nopos;2;samemaps;MultilayerPerceptron;0.9996;40.265;65.3282;2.6578;2.9977
nopos;3;othermaps;LinearRegression;0.9966;35.6039;60.8945;4.085;6.4821
nopos;3;othermaps;M5;0.9964;31.887;62.3173;3.6586;6.6336
nopos;3;othermaps;MultilayerPerceptron;0.9938;63.9422;86.8825;7.3365;9.2485
nopos;3;samemaps;LinearRegression;0.9997;31.0573;54.5273;2.0175;2.4697
nopos;3;samemaps;M5;0.9997;28.8899;56.1686;1.8767;2.544
nopos;3;samemaps;MultilayerPerceptron;0.9995;55.5204;74.7492;3.6066;3.3856
nodist;1;samemaps;MultilayerPerceptron;0.9996;57.6873;68.9293;3.871;3.2035
nopos;1;samemaps;MultilayerPerceptron;0.9996;66.4781;77.0543;4.4609;3.5811
onlydist;1;othermaps;MultilayerPerceptron;0.9957;67.1634;76.1618;8.0653;8.5284
nopos;1;othermaps;MultilayerPerceptron;0.9941;75.2891;86.8549;9.0411;9.7258
all;1;othermaps;MultilayerPerceptron;0.9912;74.5859;94.885;8.9566;10.625
nodist;1;othermaps;MultilayerPerceptron;0.9933;77.8706;93.529;9.3511;10.4731
onlydist;2;othermaps;LinearRegression;0.9962;43.3977;62.2662;5.0901;6.8027
onlydist;2;othermaps;M5;0.9965;34.6962;58.6794;4.0695;6.4109
onlydist;2;othermaps;MultilayerPerceptron;0.9957;52.9332;67.3348;6.2085;7.3565
onlydist;2;samemaps;LinearRegression;0.9997;34.5661;55.0959;2.2817;2.5281
onlydist;2;samemaps;M5;0.9997;32.8699;54.3415;2.1697;2.4935
onlydist;2;samemaps;MultilayerPerceptron;0.9997;39.7926;56.7866;2.6267;2.6057
onlydist;3;othermaps;LinearRegression;0.9959;47.2091;67.238;5.4166;7.1574
onlydist;3;othermaps;M5;0.9961;40.8926;64.9025;4.6918;6.9087
onlydist;3;othermaps;MultilayerPerceptron;0.9945;54.1944;81.0886;6.218;8.6317
onlydist;3;samemaps;LinearRegression;0.9996;38.6135;59.4016;2.5084;2.6904
onlydist;3;samemaps;M5;0.9996;36.3407;58.6132;2.3607;2.6547
onlydist;3;samemaps;MultilayerPerceptron;0.9996;52.1721;71.8717;3.3891;3.2552
