Group;Score;Map;Algorithm;Correlation coefficient;Mean absolute error;Root mean squared error;Relative absolute error;Root relative squared error
all;1;othermaps;LinearRegression;0.9996;46.3674;64.3718;1.3704;1.8171
all;1;samemaps;LinearRegression;0.9999;28.7223;44.3143;0.8043;1.1266
nodist;1;othermaps;LinearRegression;0.9997;37.3886;55.2947;1.1051;1.5609
nodist;1;samemaps;LinearRegression;0.9999;30.0408;46.1394;0.8412;1.1729
nopos;1;othermaps;LinearRegression;0.9998;26.807;47.848;0.7923;1.3507
nopos;1;samemaps;LinearRegression;0.9999;28.4867;44.4454;0.7977;1.1299
onlydist;1;othermaps;LinearRegression;0.9996;52.8159;65.7247;1.561;1.8553
onlydist;1;samemaps;LinearRegression;0.9999;39.5338;50.7532;1.107;1.2902
all;2;othermaps;LinearRegression;0.9997;38.6679;57.5395;1.1345;1.6118
all;2;samemaps;LinearRegression;0.9999;26.5329;44.1744;0.741;1.1212
nodist;2;othermaps;LinearRegression;0.9997;31.0255;51.394;0.9103;1.4396
nodist;2;samemaps;LinearRegression;0.9999;27.134;45.3343;0.7578;1.1506
nopos;2;othermaps;LinearRegression;0.9997;24.2916;48.5623;0.7127;1.3603
nopos;2;samemaps;LinearRegression;0.9999;26.3144;44.3788;0.7349;1.1264
onlydist;2;othermaps;LinearRegression;0.9997;40.2039;55.9861;1.1796;1.5682
onlydist;2;samemaps;LinearRegression;0.9999;32.8559;47.5772;0.9176;1.2075
all;3;othermaps;LinearRegression;0.9997;38.0546;58.0243;1.1087;1.6131
all;3;samemaps;LinearRegression;0.9999;28.7246;47.6096;0.8002;1.2065
nodist;3;othermaps;LinearRegression;0.9997;28.9212;52.4524;0.8426;1.4582
nodist;3;samemaps;LinearRegression;0.9999;30.4172;48.8812;0.8474;1.2387
nopos;3;othermaps;LinearRegression;0.9997;27.6714;52.2364;0.8062;1.4522
nopos;3;samemaps;LinearRegression;0.9999;29.0897;47.7621;0.8104;1.2104
onlydist;3;othermaps;LinearRegression;0.9997;41.7835;58.1078;1.2173;1.6154
